country,location_name,latitude,longitude,YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS10M,WS50M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
India,Mumbai,19.07,72.87,2025,8,1,0,24.61,1.31,3.37,5.69,210.3,94.27,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,1,24.57,1.21,3.39,5.66,212.2,94.32,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,2,24.52,1.09,3.32,5.59,214.1,94.37,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,3,24.47,1.31,3.09,5.41,215.4,94.38,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,4,24.41,0.99,2.72,5,216.8,94.57,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,5,24.37,0.97,2.41,4.63,217.1,94.77,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,6,24.58,1.48,2.46,4.48,216.1,94.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,7,25.17,2.41,3.18,4.44,215.5,92.24,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,8,25.67,4.55,3.68,4.48,218.3,90.29,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,9,26.04,5.45,3.93,4.71,222.7,89.24,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,10,26.44,10.34,4.38,5.2,227.5,88.14,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,11,27.06,13.8,5.05,5.94,235,85.58,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,12,27.44,11.19,5.3,6.19,240.1,83.71,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,13,27.75,9.53,5.26,6.09,240.9,82.58,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,14,27.85,8.37,5.01,5.79,239.7,82.12,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,15,27.62,7.3,4.65,5.4,239.5,82.78,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,16,27.16,3.76,4.2,4.94,240.4,84.15,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,17,26.45,2.62,3.55,4.47,239.7,87.35,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,18,25.66,0.52,2.47,4.08,234.9,92.18,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,19,25.15,0.46,2.09,4.06,229.8,94.55,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,20,25.07,0.84,2.13,4.18,227.9,94.67,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,21,25.11,1.33,2.21,4.28,226.8,94.34,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,22,25.03,2.05,2.16,4.07,223.9,94.89,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,1,23,24.93,3.12,2.18,4,223.1,95.42,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,0,24.85,4.35,2.35,4.13,225,95.68,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,1,24.78,2.72,2.47,4.22,226.5,95.73,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,2,24.73,2.4,2.32,4.08,227.4,95.86,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,3,24.7,6.26,2.19,3.97,229.6,95.91,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,4,24.61,10.4,2.3,4.14,234,95.68,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,5,24.42,8.93,2.28,4.2,236.1,95.85,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,6,24.55,7.95,2.26,3.87,234.9,95.43,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,7,25.19,7.31,2.87,3.56,234.2,92.42,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,8,26.02,6.45,3.25,3.83,238.9,88.58,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,9,26.8,7.04,3.57,4.12,242.1,85.45,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,10,27.44,9.36,3.79,4.32,244,83.01,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,11,27.82,8.66,3.79,4.29,246.2,81.51,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,12,28.14,7.6,3.85,4.32,249.6,80.47,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,13,28.36,6.25,3.97,4.43,252.7,79.71,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,14,28.39,6.82,3.94,4.41,255.2,79.61,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,15,28.02,6.94,3.78,4.28,256.6,80.55,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,16,27.5,3.86,3.57,4.1,257.6,82.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,17,26.75,4.53,3,3.67,257.1,85.99,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,18,25.9,3.42,1.88,3.15,254.3,91.98,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,19,25.34,2.5,1.47,2.93,248.8,94.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,20,25.2,2.46,1.38,2.75,240.1,95.15,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,21,25.18,2.17,1.29,2.46,228.1,95.14,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,22,25.07,2.67,1.34,2.48,207.1,95.18,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,23,24.82,2.8,1.64,3.08,193.8,94.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,0,24.6,2.81,1.91,3.45,184.5,94.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,1,24.39,1.71,2,3.52,181.1,95.22,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,2,24.25,0.4,1.92,3.38,176.1,95.57,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,3,24.17,0.4,1.81,3.28,168.5,95.88,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,4,24.13,0.36,1.7,3.18,167.1,96.02,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,5,24.1,0.4,1.68,3.14,169,96.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,6,24.4,0.41,1.93,3.24,165.6,95.24,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,7,25.16,1.55,2.76,3.36,169.5,91.6,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,8,25.84,3.65,3.02,3.54,177.3,88.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,9,26.79,4.98,3.19,3.65,184.9,85.52,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,10,27.49,5.96,3.2,3.63,191.9,83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,11,28.15,7.91,3.07,3.44,202,81.25,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,12,28.69,9.81,3.02,3.34,216.4,79.78,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,13,28.92,13.17,3.12,3.42,230.1,79.03,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,14,28.71,21.14,3.47,3.81,240.1,79.58,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,15,28.27,20.15,3.91,4.34,244.9,81.47,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,16,27.56,13.78,4.05,4.63,246.7,83.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,17,26.72,17.32,3.6,4.42,249.2,87.16,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,18,25.85,14.4,2.5,3.94,250.1,91.8,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,19,25.28,6.95,1.79,3.49,250.5,94.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,20,25.03,4.94,1.57,3.02,246.4,95.63,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,21,24.91,3.58,1.4,2.57,240,96.04,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,22,24.92,4.38,1.21,2.19,226,96.01,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,23,24.84,5.6,1.17,2.1,209.6,95.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,0,24.69,6.25,1.16,2.11,201.2,95.54,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,1,24.57,2.74,1.19,2.17,200.7,95.51,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,2,24.52,0.99,1.15,2.08,202.5,95.47,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,3,24.54,1.06,1.08,1.94,204.7,95.26,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,4,24.57,1.73,1.06,1.95,208,95.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,5,24.58,0.99,1.08,1.97,213,94.99,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,6,24.83,0.41,1.18,1.96,212.2,94.21,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,7,25.46,2.29,1.65,1.96,216.4,90.2,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,8,26.15,5.38,1.85,2.12,234,87.63,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,9,26.99,6.78,2.15,2.41,248.2,84.6,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,10,27.74,8.69,2.47,2.73,255,82.29,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,11,28.37,10.48,2.79,3.03,258,80.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,12,28.74,10.97,3.12,3.38,260,79.98,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,13,28.91,12.38,3.45,3.74,262.5,79.15,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,14,28.72,11.65,3.77,4.13,264.2,79.45,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,15,28.46,10.14,3.89,4.31,266.2,80.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,16,27.88,9.91,3.75,4.24,268.6,81.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,17,27.06,7.3,3.44,4.18,271.2,85.27,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,18,26.05,7.16,2.61,4.15,270,90.75,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,19,25.38,3.59,2.01,3.89,265.7,94.1,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,20,25.07,2.31,1.76,3.42,263.5,95.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,21,24.87,2.64,1.62,2.88,261.1,95.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,22,24.85,1.44,1.46,2.4,253.7,95.04,-999,-999,-999
